air_conditioning,cost_system,cost_operating,elec_price,square_feet,income,residents,city
FALSE,620,258,13.1,828,74,1,1
FALSE,685,141,9.7,553,74,1,1
FALSE,570,152,10.1,410,57,1,1
TRUE,497,193,11.3,397,81,1,1
TRUE,541,162,10.4,395,59,2,1
FALSE,663,160,10.3,584,50,2,1
FALSE,579,185,11.1,515,60,1,1
FALSE,502,158,10.3,333,61,1,1
TRUE,562,132,9.4,349,48,3,1
FALSE,495,111,8.6,227,44,1,1
TRUE,548,100,8.2,251,47,2,1
TRUE,575,202,11.6,557,58,3,1
FALSE,558,163,10.4,424,25,1,1
TRUE,497,152,10.1,314,68,1,1
TRUE,492,135,9.5,273,49,2,1
TRUE,532,131,9.3,309,71,1,1
TRUE,509,144,9.8,310,48,2,1
TRUE,664,122,9,449,53,2,1
TRUE,677,130,9.3,496,60,2,1
FALSE,496,174,10.8,358,41,1,1
FALSE,648,145,9.8,508,49,2,1
TRUE,524,172,10.7,394,89,2,1
TRUE,660,141,9.7,511,76,3,1
TRUE,520,149,10,335,68,2,1
TRUE,642,93,7.9,320,75,3,1
TRUE,609,149,10,460,67,2,1
TRUE,640,109,8.5,373,77,2,1
TRUE,687,105,8.4,413,51,3,1
TRUE,635,102,8.3,344,70,1,1
TRUE,533,136,9.5,323,75,2,1
TRUE,573,78,7.2,215,42,2,1
TRUE,606,146,9.9,446,50,2,1
FALSE,519,155,10.2,349,40,1,1
TRUE,536,147,9.9,351,46,2,1
FALSE,598,192,11.3,572,46,2,1
TRUE,590,104,8.3,302,54,2,1
TRUE,581,211,11.9,592,79,2,1
TRUE,654,126,9.2,452,85,2,1
TRUE,661,224,12.2,817,73,2,1
FALSE,661,182,11,664,63,1,1
TRUE,599,128,9.2,383,77,2,1
TRUE,640,85,7.5,292,61,2,1
TRUE,523,160,10.3,364,74,2,1
TRUE,668,132,9.4,490,54,2,1
FALSE,555,168,10.6,430,60,1,1
FALSE,608,171,10.7,525,55,1,1
FALSE,603,178,10.9,539,51,2,1
FALSE,549,153,10.1,384,31,3,1
TRUE,607,125,9.1,383,70,1,1
TRUE,516,176,10.8,390,112,2,1
TRUE,614,159,10.3,500,69,3,1
FALSE,607,117,8.8,361,56,1,1
FALSE,594,234,12.5,688,51,1,1
TRUE,545,153,10.1,380,92,3,1
