air_conditioning,cost_system,cost_operating,elec_price,square_feet,income,residents,city
FALSE,513,247,12.8,541,47,2,1
FALSE,578,138,9.6,384,64,1,1
TRUE,658,171,10.7,619,86,2,1
FALSE,615,198,11.5,624,49,2,1
FALSE,515,165,10.5,365,56,1,1
FALSE,588,143,9.7,411,39,2,1
TRUE,643,153,10.1,529,58,2,1
FALSE,676,182,11,694,46,2,1
TRUE,516,137,9.6,305,75,1,1
TRUE,544,185,11.1,454,68,3,1
FALSE,581,156,10.2,440,61,1,1
TRUE,513,111,8.6,243,66,3,1
TRUE,545,121,9,300,68,2,1
FALSE,592,161,10.4,469,68,1,1
TRUE,633,175,10.8,586,67,2,1
TRUE,590,106,8.4,308,81,2,1
TRUE,507,156,10.2,333,44,3,1
FALSE,612,143,9.8,446,64,1,1
FALSE,572,137,9.5,373,47,1,1
FALSE,532,198,11.5,466,60,1,1
FALSE,640,211,11.9,719,47,1,1
FALSE,586,184,11.1,526,71,1,1
FALSE,611,204,11.6,634,55,1,1
TRUE,527,139,9.6,321,65,2,1
FALSE,515,182,11,404,47,2,1
FALSE,665,169,10.6,625,76,1,1
TRUE,526,137,9.6,316,88,2,1
FALSE,677,143,9.8,546,52,1,1
TRUE,614,149,10,468,76,2,1
FALSE,573,124,9.1,339,50,1,1
FALSE,572,120,8.9,326,20,1,1
FALSE,593,195,11.4,572,44,1,1
TRUE,520,124,9.1,279,77,1,1
TRUE,664,115,8.7,421,76,1,1
TRUE,653,130,9.3,463,88,2,1
TRUE,519,158,10.3,354,48,3,1
TRUE,575,161,10.4,444,74,3,1
TRUE,519,112,8.6,251,53,2,1
TRUE,657,137,9.6,494,54,3,1
FALSE,588,184,11.1,530,49,1,1
TRUE,566,134,9.5,359,80,1,1
TRUE,659,184,11.1,667,65,3,1
FALSE,577,131,9.4,364,64,1,1
FALSE,613,250,12.9,785,52,1,1
TRUE,661,121,9,442,75,1,1
TRUE,614,137,9.6,431,92,2,1
FALSE,589,196,11.4,567,39,1,1
FALSE,673,201,11.6,758,69,1,1
TRUE,551,125,9.1,316,69,1,1
TRUE,515,143,9.8,317,64,2,1
FALSE,651,121,9,428,58,1,1
TRUE,565,109,8.5,292,80,2,1
FALSE,583,206,11.7,584,63,1,1
FALSE,663,180,11,661,39,2,1
TRUE,516,166,10.5,368,67,2,1
TRUE,654,137,9.6,488,73,1,1
TRUE,568,201,11.6,541,71,3,1
TRUE,664,216,12,794,62,3,1
TRUE,504,190,11.2,402,50,2,1
FALSE,548,144,9.8,361,41,2,1
TRUE,516,153,10.1,340,51,2,1
FALSE,645,173,10.8,602,61,1,1
TRUE,648,128,9.2,447,60,2,1
TRUE,604,85,7.5,258,39,3,1
FALSE,654,202,11.6,720,45,3,1
TRUE,521,132,9.4,297,48,2,1
FALSE,618,153,10.1,488,60,1,1
TRUE,608,148,9.9,456,47,3,1
TRUE,514,132,9.4,292,73,1,1
FALSE,552,185,11.1,468,47,2,1
TRUE,490,132,9.4,265,74,2,1
FALSE,655,186,11.1,665,78,1,1
TRUE,564,117,8.8,309,60,2,1
FALSE,539,163,10.4,394,34,2,1
TRUE,652,187,11.2,664,85,3,1
TRUE,644,153,10.1,529,60,3,1
TRUE,511,186,11.1,406,70,3,1
FALSE,522,156,10.2,354,40,1,1
FALSE,497,207,11.7,426,54,1,1
FALSE,522,126,9.1,285,25,1,1
TRUE,619,125,9.1,399,48,2,1
FALSE,567,71,6.9,191,46,1,1
TRUE,648,96,8,336,70,2,1
FALSE,626,165,10.5,537,70,1,1
TRUE,500,77,7.2,160,58,1,1
FALSE,499,152,10.1,316,31,1,1
TRUE,585,132,9.4,377,83,2,1
TRUE,691,119,8.9,472,70,2,1
TRUE,600,83,7.4,249,69,2,1
TRUE,690,117,8.8,464,78,1,1
FALSE,610,172,10.7,532,54,1,1
TRUE,561,104,8.3,273,68,2,1
TRUE,518,157,10.2,351,65,2,1
FALSE,647,134,9.4,467,57,1,1
TRUE,611,232,12.4,720,61,2,1
FALSE,670,194,11.4,726,60,1,1
TRUE,513,103,8.3,227,59,1,1
TRUE,587,85,7.5,242,52,3,1
FALSE,595,213,11.9,627,75,1,1
FALSE,589,185,11.1,534,51,2,1
TRUE,578,179,10.9,499,55,3,1
TRUE,559,118,8.9,309,82,1,1
TRUE,521,77,7.2,175,85,2,1
FALSE,656,155,10.2,555,56,1,1
TRUE,620,169,10.6,540,73,2,1
TRUE,519,106,8.4,238,72,2,1
FALSE,687,201,11.6,789,37,1,1
FALSE,601,165,10.5,499,47,1,1
FALSE,655,132,9.4,472,60,1,1
FALSE,518,162,10.4,361,47,1,1
FALSE,679,137,9.6,526,64,1,1
FALSE,647,121,9,421,64,1,1
TRUE,579,114,8.7,320,75,1,1
TRUE,587,187,11.2,536,62,2,1
TRUE,569,70,6.8,188,61,1,1
TRUE,622,88,7.6,282,76,1,1
FALSE,673,153,10.1,579,48,1,1
TRUE,526,144,9.8,331,72,1,1
TRUE,553,167,10.6,427,72,2,1
FALSE,547,202,11.6,504,67,1,1
FALSE,693,135,9.5,539,40,3,1
TRUE,642,154,10.1,528,75,2,1
TRUE,691,131,9.4,521,81,1,1
TRUE,505,158,10.3,336,77,2,1
TRUE,673,141,9.7,533,55,2,1
TRUE,574,186,11.1,511,70,2,1
FALSE,534,148,9.9,351,46,1,1
TRUE,693,160,10.3,641,53,3,1
FALSE,602,148,9.9,447,39,1,1
TRUE,668,129,9.3,481,55,2,1
TRUE,545,136,9.5,337,38,3,1
TRUE,568,172,10.7,462,75,1,1
TRUE,569,126,9.2,340,56,3,1
TRUE,657,90,7.7,323,61,3,1
TRUE,649,182,11,639,70,3,1
TRUE,655,144,9.8,516,86,2,1
TRUE,562,97,8,255,70,2,1
FALSE,625,153,10.1,498,71,1,1
TRUE,587,187,11.2,537,55,2,1
FALSE,583,170,10.6,481,60,1,1
TRUE,578,152,10.1,425,50,2,1
TRUE,556,167,10.5,430,51,3,1
FALSE,601,246,12.8,741,35,1,1
TRUE,592,155,10.2,453,60,2,1
FALSE,584,111,8.6,316,57,1,1
TRUE,670,116,8.8,433,88,2,1
FALSE,553,265,13.3,676,66,1,1
FALSE,561,211,11.9,554,55,1,1
FALSE,680,155,10.2,598,59,1,1
FALSE,525,140,9.7,321,47,1,1
FALSE,572,198,11.5,540,39,2,1
TRUE,540,176,10.8,428,80,3,1
TRUE,656,144,9.8,516,65,2,1
FALSE,675,169,10.6,643,42,3,1
TRUE,676,93,7.9,353,56,2,1
TRUE,510,182,11,393,76,1,1
TRUE,642,141,9.7,484,77,1,1
FALSE,570,147,9.9,398,52,1,1
TRUE,607,138,9.6,425,81,2,1
TRUE,504,146,9.9,308,79,3,1
TRUE,546,98,8.1,244,74,1,1
TRUE,620,177,10.9,567,68,2,1
TRUE,545,177,10.9,437,62,2,1
FALSE,568,209,11.8,561,36,1,1
FALSE,647,124,9.1,432,53,1,1
TRUE,511,110,8.6,238,90,2,1
TRUE,629,182,11,599,63,3,1
TRUE,645,87,7.6,302,63,1,1
FALSE,528,163,10.4,378,53,1,1
FALSE,646,173,10.7,601,49,1,1
TRUE,538,170,10.6,409,90,2,1
TRUE,526,146,9.9,337,60,2,1
TRUE,646,142,9.7,495,64,2,1
TRUE,635,136,9.5,458,75,3,1
TRUE,686,186,11.1,727,68,2,1
TRUE,546,136,9.5,338,55,3,1
TRUE,494,170,10.7,346,69,3,1
FALSE,554,112,8.7,287,54,1,1
TRUE,583,120,8.9,341,64,1,1
TRUE,626,94,7.9,308,57,2,1
TRUE,501,120,8.9,250,68,3,1
TRUE,604,106,8.4,323,65,1,1
FALSE,591,207,11.7,603,58,1,1
TRUE,655,115,8.7,409,65,3,1
TRUE,640,206,11.7,703,59,3,1
FALSE,684,144,9.8,561,76,1,1
TRUE,591,188,11.2,548,85,2,1
TRUE,647,135,9.5,471,73,2,1
FALSE,560,158,10.3,413,29,2,1
